tx_emotion_00201000015 一年又一年,一日复一日,一聚一离别,一生一场梦。 
tx_emulate_01_020_0001_000004	你看起来还是那么白。
tx_emulate_01_020_0007_000012	智慧大王来啦。
tx_emulate_01_020_0017_000067	两个都得救，两个都得救哇。
tx_emulate_01_021_0003_000015	没有自由的人会幸福吗？
tx_emulate_01_022_0009_000026	才是沛国的天。
tx_emulate_01_022_0022_000108	就只凭一根铁钉。
tx_emulate_01_022_0022_000111	你明明发过誓，会好好保护我，你发过誓。
tx_emulate_01_023_0006_000042	你说凭什么。
tx_emulate_01_023_0010_000063	呃刚才我老猪吃的是快了点儿。
tx_emulate_01_023_0010_000064	也不知道是什么味儿，有籽没籽儿，有核没核。
tx_emulate_01_023_0014_000081	都快睁不开了。
tx_emulate_01_024_0009_000083	你们人多，你们枪多。
tx_emulate_01_024_0010_000114	法租界外边都是中国人的地方。
tx_emulate_01_024_0012_000117	你不做巡捕，以后去做什么呀。
tx_emulate_01_024_0013_000139	如果完不成任务。
tx_emulate_01_026_0005_000031	他又咋啦，嫌你丑，嫌你脏。
tx_emulate_01_028_0008_000035	为什么还要把时间浪费在这个上头哇？
tx_emulate_01_028_0009_000046	你以前，不是最喜欢这样儿称呼的吗？
tx_emulate_01_028_0009_000054	您是因为这个就不爱臣妾了吗，那我不要规矩也不要体统，如果没有皇上的怜惜，这一切，又有什么意义。
tx_emulate_01_029_0013_000037	究竟怎么回事，把我都给弄糊涂了。
tx_emulate_01_030_0014_000035	啊，这睡衣好舒服，再不用化妆穿礼服，还不用和王子约会。
tx_emulate_01_031_0009_000032	身如玄铁，火眼金睛。
tx_emulate_01_031_0011_000045	借此，隆重盛典。
tx_emulate_01_031_0015_000061	臣不敢，臣惶恐。
tx_emulate_01_031_0020_000073	剁了皇帝老儿狗头，给我退下。
tx_emulate_01_032_0011_000017	知识，就是力量。
tx_emulate_01_032_0011_000020	恋爱和战斗，都要勇往直前。
tx_emulate_01_032_0018_000042	嗯我不听我不听我假装家里没电脑。
tx_emulate_01_033_0004_000039	嗯……就是，第一次那什么，呃也是跟高平。
tx_emulate_01_033_0006_000075	我李云龙，不会拿自己的士兵的生命，去换自己的老婆。
tx_emulate_01_034_0003_000030	我喜欢吃很多人做的菜。
tx_emulate_01_034_0005_000040	那你喜欢他吗？
tx_emulate_01_190_0001_000041	清水一杯，聊表寸心。
tx_emulate_01_190_0001_000042	接到新房子里过春节啦。
tx_emulate_01_191_0005_000043	唉我的老婆呀，我的前瞻性怎么跟你就相差那么十万八千里呐？
tx_emulate_01_192_0003_000046	你的工作包括陪聊吗？我已经忍无可忍啦。
tx_emulate_01_196_0001_000024	钱全是借来的。
tx_emulate_01_196_0003_000051	可现在问题是，问题的关键是，你要把我们俩的生活全部压在你姐身上吗？
tx_emulate_01_196_0004_000027	月息百分之十，那一年翻一百二啊。
tx_emulate_01_199_0001_000022	不会知道什么？
tx_emulate_01_200_0002_000001	哎，我说什么了我，你现在可是越来越不纯洁了啊。
tx_emulate_01_202_0001_000005	你给我说说，你给我说说你跟那个，宋什么，啊，那宋什么，到底什么关系呀现在？
tx_emulate_01_202_0001_000036	除了社保和三金扣下来两千八，不到两千八你就想买断我二十四小时？
tx_emulate_01_203_0001_000002	从明天开始起，明天开始起，我就堵在厕所门口，我谁也不让上厕所，我看他们给不给我钱。
tx_emulate_01_203_0008_000028	您想想，现在这人，您开一奥迪出去，他都不搭理你，觉得您没实力。
tx_emulate_01_205_0002_000018	你到底想干什么？
tx_emulate_01_206_0004_000007	你讨厌，你吓死我了，你知不知道？
tx_emulate_01_206_0005_000031	咱干这份工作，挣这份钱，把钱拿到手里头就完事儿了。
tx_emulate_01_209_0001_000021	这万一没人给他送钱，人家又不给他治，他不等于送死吗？
tx_emulate_01_210_0009_000010	房子是保值的诶，钱留在手里，不合算的。
tx_emulate_01_216_0004_000039	这个床，换掉，外面那个餐桌，换掉，通通都不要。
tx_emulate_01_219_0002_000027	事先为什么不告诉我一声？
tx_emulate_02_001_0015_000048	为什么要隐藏隐瞒，为什么要忍痛抚琴，你们早知道她受伤了对不对，为什么联合起来隐瞒我，为什么为什么？
tx_emulate_02_002_0016_000058	论文治武功，是朕开创了贞观之治。
tx_emulate_02_002_0018_000067	可是纪晓岚，纪晓岚他不能老逼着朕做圣人吧？
tx_emulate_02_003_0023_000078	若无，苏先生的麒麟之才，恐怕朕今天，也看不到这个场面吧。
tx_emulate_02_004_0004_000018	今天，就是有天大的事情，有我孝庄来顶着。
tx_emulate_02_005_0005_000018	不，我刚才问的是本命，现在问的是自我。
tx_emulate_02_006_0002_000017	一对叱咤风云的眼睛，那体态不活像一位英勇的神灵，刚刚落到摩天山顶，这幅十全十美的仪表。
tx_emulate_02_006_0009_000053	还有谁？还有谁？还有谁？
tx_emulate_02_006_0009_000056	你们局长都得给我们鳄鱼帮面子，要不然他当不了这个局长，你他妈不认识我？
tx_emulate_02_006_0019_000078	我在这个老人院啊，起码，有人给我料理一下后事。
tx_emulate_02_006_0019_000090	这是我临死之前最后的一个愿望。
tx_emulate_02_006_0020_000097	我眼睁睁地看着一些老伙计呀。
tx_emulate_02_007_0006_000025	我哪知道喊啥呀？
tx_emulate_02_007_0010_000050	都怪你，嗯，看着师傅不好好看着，嗯嗯，非得擒什么妖，嗯嗯，妖怪没擒着，师傅也给弄丢了，还怪我呢。
tx_emulate_02_007_0024_000112	我就问你一句，姚远跟你说的那句话是什么？我们就想知道这一句话。
tx_emulate_02_008_0011_000058	我是世界上第一大糊涂蛋呢。
tx_emulate_02_008_0020_000108	我的货十回有八回被张麻子劫走了，如果你们可以去剿匪的话，钱要多少有多少。
tx_emulate_02_039_0002_000034	和家里的人留一段话。
tx_emulate_02_039_0003_000072	不傻，谁和你做朋友。
tx_emulate_02_041_0002_000076	别怪光江某再说句不客气的话。
tx_emulate_02_042_0001_000128	万一紫薇还来不及禀明身份，皇上就要来个乱点鸳鸯谱了。
tx_emulate_02_042_0002_000072	我答应过大家要改变这里，如果我们现在把咖啡卖了。
tx_emulate_02_042_0002_000101	你回村之后做的每一件事情，哪一个不是我告诉你的？
tx_emulate_02_042_0003_000154	哪知道美梦，不会成真呐。
tx_emulate_02_042_0004_000065	电令完全可能被截获，一旦被破译，命令是袭击明楼座驾，刺杀的却是南田洋子，我们全都得暴露。
tx_emulate_02_043_0003_000020	本人是天生领队，亲自找来一群大坏蛋，组成了怪盗军团阴谋诡计，什么事都干。
tx_emulate_02_044_0001_000032	就说啊，有一种鱼叫鲲，超级大，有天那么大，还能飞，翅膀像云一样大。
tx_emulate_02_044_0010_000061	哦谢谢，你真是热心呐。
tx_emulate_02_045_0001_000001	我愿意为您做任何事情，可是马克队长，那个人救过我一命，我，我不能。
tx_emulate_02_045_0002_000003	马克队长那个人，救过我一命。
tx_emulate_02_045_0015_000057	你不是我哥哥。
tx_emulate_02_046_0004_000012	啊，我是特优生。
tx_emulate_02_046_0022_000084	你练武功那么高，还要她救你？
tx_emulate_02_051_0001_000002	你还记得我们付出了代价吗？你还记得我们曾经的梦想跟誓言了吗？
tx_emulate_02_052_0011_000081	身为三D的我，就连票价都是你们的两。
tx_emulate_02_052_0016_000106	为什么不留下她呀，小玉这一走，你再想见她就难啦。
tx_emulate_02_055_0004_000004	你好狠毒的心啊你。
tx_emulate_02_055_0015_000044	他也许就放过我们啦。
tx_emulate_02_055_0033_000122	好啦，都闭嘴。
tx_emulate_02_056_0005_000027	干什么，我当然不会研究那些浅薄的社会问题。
tx_emulate_02_057_0010_000047	这是我们的使命。
tx_emulate_02_057_0034_000160	你放火烧了我的亲生母亲，你今生今世都要以她的身份活着，所有人都知道，偏偏你在骗自己。
tx_emulate_02_222_0001_000017	怎么就那么不会说人话呢？
tx_emulate_02_227_0002_000019	我天天吃糠咽菜的，我不就是顾着你，顾着这个家，顾着孩子吗。
tx_emulate_02_229_0001_000044	怎么啦，我告诉你，我像日本鬼子扫荡一样，把咱家里里外外扫荡了一遍。
tx_emulate_02_231_0008_000034	不好，你们厂里搞歧视。
tx_emulate_02_233_0001_000034	诶呦，说了一句咱俩有夫妻相，说你有三十五岁，瞧把你委屈的。
tx_emulate_02_238_0002_000034	还拿着白头发呢，神经病呀你。
tx_emulate_02_239_0002_000056	别跟着他学的油腔滑调，拈花惹草的。
tx_emulate_02_242_0002_000069	你说清楚了再走。
tx_emulate_02_242_0002_000072	啊，你想她你去找她去呀，你别以为我看不出来，你天天干吗给我脸色看啊。
tx_emulate_02_245_0001_000034	你胡说什么你？
tx_emulate_02_245_0002_000019	我今儿早上才要多多去你宿舍问了，你宿舍同学说你昨晚根本就没回来，你在哪儿过的夜？
tx_emulate_02_245_0002_000035	你知道我叫你来干什么，你看你这作业做的，你糊弄谁呢。
tx_emulate_02_254_0005_000056	你说，我从小到大，他们俩天天吵就没消停过，这叫爱情？
tx_emulate_02_254_0005_000110	诶呦妈呀，您一回来这叫一乱内。
tx_emulate_02_255_0001_000027	瞧你这说的，唉，人家是两口子。
tx_emulate_02_255_0003_000001	你怎么回来啦，请假回来哒？
tx_emulate_02_257_0001_000007	你没看我在这儿研究李大钊传呢嘛我，我这要出书，我写书我要。
tx_emulate_02_257_0001_000008	我说，你别叨叨了行不行，你这辈子还没叨叨够哇？
tx_emulate_02_257_0002_000038	好高骛远，本事不大心气儿不小，你不说往下扽着他点儿，你倒好。
tx_emulate_02_258_0002_000011	还住在你们家？
tx_emulate_02_259_0003_000006	我问这个干吗呀？又不是调查户口，人离了不就得了呗。
tx_emulate_02_260_0001_000024	你看你这臭小子，奥你爸就不能关心关心你啊？
tx_emulate_02_260_0001_000039	诶呦，我还真没有见过光管接电话的太上皇呢。
tx_emulate_02_260_0002_000105	诶呀，我这次没白去呀，我亲眼盯着那个秦香莲把那手印儿给按了。
tx_emulate_02_261_0005_000089	您甭哭了行吗，别再一吵架您就跟我说这个行吗？
tx_emulate_02_261_0005_000107	是大姐帮了我您知道吗？我那是第一次啊我。
tx_emulate_02_263_0002_000014	不行，不行，我又不做生意。
tx_emulate_02_265_0001_000066	如果她怀的是你的孩子，你就要对她负责任，你就得跟她结婚。
tx_emulate_02_265_0002_000026	你要是但凡把我当人看，他们敢这样儿？
tx_emulate_02_265_0002_000087	你给他点儿自尊心吧，你动不动就打。
tx_emulate_02_265_0006_000056	我们俩从一开始就君子之交，都说好啦，背信弃义出尔反尔的是她，我告诉你这件事我是受害者。
tx_xiao_0100101000076 费尽心思想和自己聊天的样子,我自己都烦。 
tx_xiao_0100101000302 妾住长江头,君住长江尾。日日思君不见君,共饮一江水。 
tx_xiao_0100101000330 她倒吸了一口气,难过地垂下眉尾。 
tx_xiao_0100101000408 心,总像被掏空的感觉,只需要深呼吸,然后活在自己的世界里面。 
tx_xiao_0100101000439 不是我选择的,只是被迫接受的。 
tx_xiao_0100103000017 哥哥很爱我,不肯我受委屈,有你我很开心,快乐! 
tx_xiao_0100103000032 据说今晚还是蛮开心哒有饱耳福即是开心吧。 
tx_xiao_0100103000066 去豆捞坊每次都是愉快的用餐体验啊! 
tx_xiao_0100103000069 我家宝宝蹦蹦跳跳像个小兔子一样,真是可爱嘤。 
tx_xiao_0100103000115 码字真的是件愉快的事情啊,写完本儿感言也是。 
tx_xiao_0100103000159 民哥、衷心地祝福你新婚快乐。 
tx_xiao_0100103000171 收拾衣物,发现十年前的衣裤依然能穿,甚是欣喜。 
tx_xiao_0100103000202 天南地北,年月日时,幸福快乐! 
tx_xiao_0100103000268 他又惊又喜,眼睛像通了电的灯泡,募地亮了,一直沉着的脸上露出了笑容。 
tx_xiao_0100103000272 祖国母亲生日快乐,尕叔生日快乐,小刘生日快乐! 
tx_xiao_0100103000306 闫颖,今天是你的生日,祝你生日快乐。 
tx_xiao_0100103000326 喜悦涌进了她的心中,心仿佛荡漾在春水里。 
tx_xiao_0100103000327 今天老婆生日,祝老婆生日快乐! 
tx_xiao_0100103000336 明儿就能见到老公了,兴奋中! 
tx_xiao_0100103000344 用自己打工的钱买了人生第一辆山地车,美利达勇士五百,加油! 
tx_xiao_0100103000354 海绵宝宝之所以快乐不是因为他二,而是有人跟他一起二。 
tx_xiao_0100103000364 突然发现,俺闺女出牙了,开心,高兴,兴奋! 
tx_xiao_0100103000368 丹霞山偶遇一同事,兴奋、幸福! 
tx_xiao_0100103000420 户外烧烤,还能看鳄鱼,开心开心。 
tx_xiao_0100103000425 儿童节快乐,本引大神我披荆斩棘终于回来啦! 
tx_xiao_0100103000429 唱歌唱到嗓子哑了,开心。 
tx_xiao_0100103000459 哎呀呀呀,国庆节,祖国生日快乐啊! 
tx_xiao_0100103000480 祝你新婚快乐,婚后也不要忘了关注我们老大呀! 
tx_xiao_0100104000019 死人宋明城,看到漂亮一点的女生就把自己姓什么给忘了。 
tx_xiao_0100104000064 别跟我提起她!既然你不爱她,当初为什么要从我身边夺走她? 
tx_xiao_0100104000111 我从不是什么善男信女,别用宗教那一套来感化我。 
tx_xiao_0100104000141 那好吧,我不管你们的事儿,不过我希望你能尽快的把事情讲清楚。 
tx_xiao_0100104000143 你还有什么脸说他是你女朋友!我告诉你,离熙儿远点儿! 
tx_xiao_0100104000190 不说话是吧?说不出来啦,对吧?没话说了,对吧?啊? 
tx_xiao_0100104000205 你是怎么缠上武赫的?你缠着一个江半岛还不够吗? 
tx_xiao_0100104000295 怎么可以骗我们呢,走,我们去找他! 
tx_xiao_0100104000354 就算我从未管过你,这次也绝不允许你和那个人的女儿在一起! 
tx_xiao_0100104000428 你少跟我废话,快告诉我你把惠雅拐到哪里去了! 
tx_xiao_0100105000112 你不要废话!谁会喜欢你?好好照顾我哥!我走了! 
tx_xiao_0100105000158 周傲宇,就因为我不了解你所以我才会跟你结婚。 
tx_xiao_0100105000254 臭丫头,还不是在本少爷的英明领导下,你才有这样的风范! 
tx_xiao_0100105000277 想今天放学后留下来擦窗子的,你就再讲,不想的话。 
tx_xiao_0100105000307 我不管你喜不喜欢我,只要是我想要的东西,没人可以阻止,就算是翼也不行。 
tx_xiao_0100105000327 喂,你什么意思啊?人家女生都没嫌你口臭呢,居然给我漱口… 
tx_xiao_0100105000369 奔奔这才知道害羞?嗯?奔奔你不厚道呦,说好我们一起出嫁的。 
tx_xiao_0100105000468 是我推卸责任吗?如果不是你醋意大发,胡乱猜测。 
tx_xiao_0100106000020 到底怎么回事儿啊?真的吗? 
tx_xiao_0100106000061 要凌哥哥怎么个疼法?是亲疼你,还是抱疼你? 
tx_xiao_0100106000077 你们两个也眼瞅着奔三十了,还没搞定咱们那两个警花姐姐? 
tx_xiao_0100106000099 格琳娜都是我最后一个逢场作戏的女人,相信我,好吗? 
tx_xiao_0100106000103 朋友…朋友需要这样的吗? 
tx_xiao_0100106000111 不知道林大少爷会不会舍命来换回她们两个呢? 
tx_xiao_0100106000116 可为什么他看恋夏时不是那种厌恶与不屑的眼神? 
tx_xiao_0100106000182 一个是资本主义的苗,一个是社会主义的草,我不扶持它谁扶持它? 
tx_xiao_0100106000278 哦,对了,你刚刚在外面求雨做什么? 
tx_xiao_0100106000282 那个…牧野什么的,是你回台的原因? 
tx_xiao_0100106000316 死丫头,喂!你怎么来上海了? 
tx_xiao_0100106000317 封皓阳队长不是只教你数学和英语吗? 
tx_xiao_0100106000332 是的。那个婢女是殿下的侍女吗? 
tx_xiao_0100107000103 那么妈妈现在还陪着我。 
tx_xiao_0100107000310 她是我最好最好最好的朋友,请你答应我…照顾她一辈子好吗? 
tx_xiao_0100107000341 因为天辰他患了一种绝症,所以没办法接管牧氏了。 
tx_xiao_0100107000369 如有违誓,我…不用发誓了,我我相信你。 
tx_xiao_0100107000421 所以她选择一个人去接受这一切。 
tx_xiao_0100107000431 这样我就有了很温暖的感觉…现在我连宝宝都失去了。 
tx_xiao_0100107000449 我每天放学回家都小心翼翼的。 
tx_xiao_0200101000712 我小时候贪玩儿,现在才认识到知识的重要性。 
tx_xiao_0200101000731 当初我要是坚定一些,我们三个人就不会是现在这样的结局。 
tx_xiao_0200101000952 主动久了,每个人都会累,不是不爱了,只是心累了。 
tx_xiao_0200103000008 眼前这亮闪闪的宝石,令兰博基尼太惊喜了。 
tx_xiao_0200103000048 果然能沟通成功,功夫不负有心人呀! 
tx_xiao_0200103000053 尽管果子都是脏兮兮的,但我吃着非常好吃! 
tx_xiao_0200103000080 太好了以后我们可以一起冒险了,来击个掌! 
tx_xiao_0200103000095 有点儿兴奋,太渴望与那些高手交手啦。 
tx_xiao_0200103000102 天呐,我竟然长高了,还真有些不敢相信呐。 
tx_xiao_0200103000124 这回能逃过一劫,是苍天眷顾啊! 
tx_xiao_0200103000128 许多人眼眸内都是精光烁烁,很是兴奋。 
tx_xiao_0200103000135 这辈子最令我开心的事儿就是被人夸你瘦了! 
tx_xiao_0200103000148 不敢相信呐,李子兴奋根本无法言表。 
tx_xiao_0200103000153 这么喜欢喊呀,今天我就跟你一起喊个够哦。 
tx_xiao_0200103000162 太久不见闺蜜好友,电扇有些小喜悦。 
tx_xiao_0200103000183 小草在微风中舞蹈,真是美极啦! 
tx_xiao_0200103000184 喜欢听流行歌曲,一听我就停不下来的兴奋。 
tx_xiao_0200103000187 弟弟主动递了杯水给我,太懂事了。 
tx_xiao_0200103000192 今天出席的明星,都是我梦寐以求的呦。 
tx_xiao_0200103000206 嗯我能重新投入这次科研中,可太好啦。 
tx_xiao_0200103000221 在节日的庆典上,让人感觉喜气冲天! 
tx_xiao_0200103000236 我想先祖还活着的话,一定会为我们高兴的。 
tx_xiao_0200103000258 这回考试顺利无比,花花心中挺高兴的。 
tx_xiao_0200103000259 那儿景色不错吧,我爸亲自打理的呢。 
tx_xiao_0200103000289 哟橘子口感不错呀,我也要买。 
tx_xiao_0200103000520 路上略微兴奋,一直在那儿卖弄手机。 
tx_xiao_0200103000535 随后我对他笑笑,他仰天长啸,亦是好不快活。 
tx_xiao_0200103000554 更让人兴奋的是,不但优秀,而且漂亮! 
tx_xiao_0200103000604 林研希今天和姨姨聊得最久了,姨姨都乐开了花! 
tx_xiao_0200103000640 本仙女宣布,我有男朋友啦,哈哈哈,还是正宗的富二代! 
tx_xiao_0200103000648 二零二零年中国终于实现了共同富裕! 
tx_xiao_0200104000527 就你们喜欢叫人同志,在国外都把同性恋称作同志!靠! 
tx_xiao_0200104000609 你还不快滚,别在这里妨碍本姑娘学习。 
tx_xiao_0200104000718 如果你说的解释是欺骗我的那件事儿,还是不要解释得好。 
tx_xiao_0200104000737 肖童这个混蛋,我恨不得亲手杀了他! 
tx_xiao_0200104000848 臭老头,闭上你的嘴。我劝你们还是不要轻举妄动的好。 
tx_xiao_0200104000887 你知不知道当初那么一声不吭地走了让我有多担心? 
tx_xiao_0200105000529 她身体里流的不是血,是冰! 
tx_xiao_0200105000606 大壁虎发怒了,脸爆炸得通红,像一颗星火,落在一盆汽油上。 
tx_xiao_0200105000643 天气很热,作业很多,心情焦虑和烦躁得什么都不想做。 
tx_xiao_0200105000715 老喜欢出阴招,使手段,太不厚道了! 
tx_xiao_0200105000746 一下子拉过凳子,鱼腥草大爷愤怒地坐了下去。 
tx_xiao_0200106000514 你是不是担心我和紫罗要跑去搅局?放心。 
tx_xiao_0200106000526 怎么约会?去哪里?干吗去了?做姐姐的,我不是关心你嘛。 
tx_xiao_0200106000535 没什么啦!趁现在没什么事儿,说说你爷爷到底跟你讲了些什么啊! 
tx_xiao_0200106000563 难道点了就一定要吃吗?我现在很饱,不需要吃。 
tx_xiao_0200106000574 就你那绣花拳头?呵呵。 
tx_xiao_0200106000584 当年写情书的人应该是你吧? 
tx_xiao_0200106000644 怎么?一提起他你就生气。你们俩闹别扭了啊? 
tx_xiao_0200106000737 你还不是这样爱着他啊。 
tx_xiao_0200106000881 后来怎么看出我这个魔鬼就是你心目中的天使的呢? 
tx_xiao_0200107000662 好,我知道了,谢谢你这么坦诚地回答我。 
tx_xiao_0200107000704 这哥们儿貌似不是南方人。 
tx_xiao_0200107000936 从来没有把我当成恋人看待。 
tx_xiao_0200107000972 就算危险随时会来到你也不会离开的对吗?你会吗。 
tx_xiao_0200107000978 研究所也不跟我续签合同了,我只能回国了,连个工作都没有。 
tx_xiao_0200107001042 能一直选择面对,选择用尽办法来挽救我们的婚姻,我能怪他什么啊。 
